School Code,School Name,School Type,Sch type - reg/ VJ,School Shift,Nov 1,Nov 2,Nov 3,Nov 4,Nov 5,Nov 6,Nov 7,Nov 8,Nov 9,Nov 10,Nov 11,Nov 12,Nov 13,Nov 14,Nov 15,Nov 16,Nov 17,Nov 18,Nov 19,Nov 20,Nov 21,Nov 22,Nov 23,Nov 24,Nov 25,Nov 26,Nov 27,Nov 28,Nov 29,Nov 30
2826509216,Ujjwal Senior Secondary School,Weekly,Regular school,Single shift,V,,,,,,-,,V,,,,,-,V,,,,,,-,,V,,,,,-,,
3012058739,Utkarsh Vidyalaya,Weekly,Regular school,Single shift,,V,,,,,-,,,V,,,,-,,V,,,,,-,,,V,,,,-,,
5790085580,Pragati Vidyalaya,Once in two weeks,Regular school,Single shift,,V,,,,,-,,,,,,,-,,,V,,,,-,,,,,,,-,,
8808989976,Shanti Senior Secondary School,Daily,Regular school,Single shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
1746568288,Saraswati High School,Daily,Regular school,Single shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
7806320468,Adarsh Public School,Daily,Regular school,Single shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
3443511417,Adarsh Model School,Weekly,Regular school,Double Shift,,,V,,,,-,,,,V,,,-,,,V,,,,-,,,,V,,,-,,
8470473969,Vidya Vidyalaya,Weekly,Regular school,Single shift,,,,V,,,-,,,,,V,,-,,,,V,,,-,,,,,V,,-,,
6240410164,Pragati Vidyalaya,Two days a week,Regular school,Single shift,V,,,,V,,-,V,,,,V,,-,V,,,,V,,-,V,,,,V,,-,,
2453739709,Jyoti Model School,Two days a week,Regular school,Double Shift,V,,,,,V,-,V,,,,,V,-,V,,,,,V,-,V,,,,,V,-,,
3941586534,Ujjwal Vidyalaya,Daily,Regular school,Single shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
8436588094,Navchetna Vidyalaya,Daily,Vidya Jyoti school,Double Shift,V,V,V,V,V,-,-,V,V,V,V,V,-,-,V,V,V,V,V,-,-,V,V,V,V,V,-,-,V,V
6262295940,Adarsh Model School,Once in two weeks,Regular school,Single shift,,,V,,,,-,,,,,,,-,,,,V,,,-,,,,,,,-,,
9880390251,Aarohan Academy,Two days a week,Regular school,Single shift,V,V,,,,,-,V,V,,,,,-,V,V,,,,,-,V,V,,,,,-,,
4754444270,Utkarsh Model School,Once in two weeks,Regular school,Double Shift,,,,V,,,-,,,,,,,-,,,,,V,,-,,,,,,,-,,
9396081041,Aarohan High School,Weekly,Regular school,Double Shift,,,,,V,,-,,,,,,V,-,,,,,V,,-,,,,,,V,-,,
9272452544,Saraswati Academy,Weekly,Regular school,Single shift,,,,,,V,-,V,,,,,,-,,,,,,V,-,V,,,,,,-,,
7831752627,Adarsh High School,Once in two weeks,Regular school,Single shift,,,,,V,,-,,,,,,,-,,,,,,V,-,,,,,,,-,,
7453106805,Jyoti Public School,Once in two weeks,Regular school,Double Shift,,,,,,V,-,,,,,,,-,,,,,,,-,,V,,,,,-,,
9244790102,Vidya Public School,Once in two weeks,Regular school,Double Shift,,,,,,,-,,V,,,,,-,,,,,,,-,,,V,,,,-,,
7839424300,Jyoti Public School,Once in two weeks,Regular school,Single shift,,,,,,,-,,V,,,,,-,,,,,,,-,,,V,,,,-,,
4539974468,Adarsh Public School,Monthly,Regular school,Double Shift,,,V,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,
8673624607,Aarohan Public School,Once in two weeks,Regular school,Double Shift,,,,,,,-,,,V,,,,-,,,,,,,-,,,,V,,,-,,
8890254450,Aarohan Model School,Weekly,Vidya Jyoti school,Single shift,,,,V,,-,-,,,,,V,-,-,,,,V,,-,-,,,,,V,-,-,,
8834524921,Adarsh Vidyalaya,Weekly,Regular school,Single shift,,V,,,,,-,,,V,,,,-,,V,,,,,-,,,V,,,,-,,
5299406480,Shanti Senior Secondary School,Two days a week,Regular school,Single shift,V,V,,,,,-,V,V,,,,,-,V,V,,,,,-,V,V,,,,,-,,
6214525836,Navchetna Public School,Weekly,Vidya Jyoti school,Single shift,V,,,,,-,-,,V,,,,-,-,V,,,,,-,-,,V,,,,-,-,,
7658840170,Utkarsh High School,Once in two weeks,Regular school,Single shift,,,,,,,-,,,,V,,,-,,,,,,,-,,,,,V,,-,,
4630058349,Jyoti Senior Secondary School,Once in two weeks,Regular school,Single shift,,,,,,,-,,,,,V,,-,,,,,,,-,,,,,,V,-,,
3306898605,Pragati High School,Once in two weeks,Regular school,Double Shift,,,,,,,-,,,,,,V,-,,V,,,,,-,,,,,,,-,,
8588014228,Sankalp Senior Secondary School,Weekly,Regular school,Single shift,,,,V,,,-,,,,,V,,-,,,,V,,,-,,,,,V,,-,,
6561610509,Ujjwal Vidyalaya,Once in two weeks,Regular school,Single shift,,V,,,,,-,,,,,,,-,,,V,,,,-,,,,,,,-,,
2839988634,Aarohan Vidyalaya,Once in two weeks,Regular school,Single shift,,V,,,,,-,,,,,,,-,,,V,,,,-,,,,,,,-,,
8616897567,Utkarsh Academy,Two days a week,Vidya Jyoti school,Double Shift,V,,,V,,-,-,V,,,V,,-,-,V,,,V,,-,-,V,,,V,,-,-,,
6319426090,Aarohan High School,Two days a week,Regular school,Double Shift,V,,,V,,,-,V,,,V,,,-,V,,,V,,,-,V,,,V,,,-,,
6130523028,Shanti Public School,Weekly,Regular school,Double Shift,,,,,V,,-,,,,,,V,-,,,,,V,,-,,,,,,V,-,,
7658013072,Shanti Vidyalaya,Two days a week,Regular school,Double Shift,V,,,,V,,-,V,,,,V,,-,V,,,,V,,-,V,,,,V,,-,,
6814432237,Ujjwal Public School,Weekly,Regular school,Single shift,,,,,,V,-,V,,,,,,-,,,,,,V,-,V,,,,,,-,,
4437465058,Jyoti Academy,Weekly,Regular school,Single shift,V,,,,,,-,,V,,,,,-,V,,,,,,-,,V,,,,,-,,
8582227451,Aarohan Vidyalaya,Weekly,Regular school,Single shift,,V,,,,,-,,,V,,,,-,,V,,,,,-,,,V,,,,-,,
1469948527,Aarohan Senior Secondary School,Weekly,Regular school,Single shift,,,V,,,,-,,,,V,,,-,,,V,,,,-,,,,V,,,-,,
6423732316,Aarohan Public School,Weekly,Regular school,Double Shift,,,,V,,,-,,,,,V,,-,,,,V,,,-,,,,,V,,-,,
9845623107,Gyan Academy,Daily,Regular school,Double Shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
3162440834,Pragati Senior Secondary School,Weekly,Vidya Jyoti school,Double Shift,,,,V,,-,-,,,,,V,-,-,,,,V,,-,-,,,,,V,-,-,,
8623976194,Adarsh Academy,Weekly,Regular school,Double Shift,,,,,,V,-,V,,,,,,-,,,,,,V,-,V,,,,,,-,,
6705495084,Ujjwal Model School,Weekly,Regular school,Double Shift,V,,,,,,-,,V,,,,,-,V,,,,,,-,,V,,,,,-,,
7617294243,Jyoti Vidyalaya,Weekly,Regular school,Double Shift,,V,,,,,-,,,V,,,,-,,V,,,,,-,,,V,,,,-,,
3402550468,Aarohan Public School,Weekly,Regular school,Double Shift,,,V,,,,-,,,,V,,,-,,,V,,,,-,,,,V,,,-,,
7676526824,Aarohan Model School,Weekly,Regular school,Double Shift,,,,V,,,-,,,,,V,,-,,,,V,,,-,,,,,V,,-,,
1998335393,Saraswati Public School,Once in two weeks,Regular school,Single shift,,,V,,,,-,,,,,,,-,,,,V,,,-,,,,,,,-,,
5875440280,Vidya Model School,Once in two weeks,Regular school,Double Shift,,,,V,,,-,,,,,,,-,,,,,V,,-,,,,,,,-,,
2613467626,Navchetna Academy,Once in two weeks,Regular school,Double Shift,,,,,V,,-,,,,,,,-,,,,,,V,-,,,,,,,-,,
2832402022,Utkarsh Public School,Weekly,Regular school,Double Shift,,,,,V,,-,,,,,,V,-,,,,,V,,-,,,,,,V,-,,
7932271124,Vidya Vidyalaya,Weekly,Regular school,Double Shift,,,,,,V,-,V,,,,,,-,,,,,,V,-,V,,,,,,-,,
2421497113,Shanti Senior Secondary School,Weekly,Regular school,Double Shift,V,,,,,,-,,V,,,,,-,V,,,,,,-,,V,,,,,-,,
4940142752,Aarohan Model School,Once in two weeks,Regular school,Single shift,,,,,,V,-,,,,,,,-,,,,,,,-,,V,,,,,-,,
1190466160,Jyoti Senior Secondary School,Daily,Regular school,Single shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
2321419271,Aarohan High School,Weekly,Regular school,Double Shift,,V,,,,,-,,,V,,,,-,,V,,,,,-,,,V,,,,-,,
1454119930,Adarsh Public School,Once in two weeks,Regular school,Single shift,,,,,,,-,,V,,,,,-,,,,,,,-,,,V,,,,-,,
3955987918,Shanti Public School,Once in two weeks,Regular school,Single shift,,,,,,,-,,V,,,,,-,,,,,,,-,,,V,,,,-,,
7283864836,Saraswati Academy,Once in two weeks,Regular school,Double Shift,,,,,,,-,,,V,,,,-,,,,,,,-,,,,V,,,-,,
7527839061,Vidya Model School,Once in two weeks,Regular school,Double Shift,,,,,,,-,,,,V,,,-,,,,,,,-,,,,,V,,-,,
8036454480,Pragati Model School,Once in two weeks,Regular school,Double Shift,,,,,,,-,,,,,V,,-,,,,,,,-,,,,,,V,-,,
6957457344,Gyan Vidyalaya,Weekly,Regular school,Double Shift,,,V,,,,-,,,,V,,,-,,,V,,,,-,,,,V,,,-,,
4631764223,Sankalp Public School,Once in two weeks,Vidya Jyoti school,Double Shift,,,,,,-,-,,V,,,,-,-,,,,,,-,-,,,V,,,-,-,,
6483966719,Navchetna Public School,Monthly,Vidya Jyoti school,Single shift,,,,V,,-,-,,,,,,-,-,,,,,,-,-,,,,,,-,-,,
8875602562,Shanti High School,Monthly,Vidya Jyoti school,Double Shift,,,,V,,-,-,,,,,,-,-,,,,,,-,-,,,,,,-,-,,
1280141672,Gyan Senior Secondary School,Monthly,Regular school,Single shift,,,,V,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,
7349612861,Navchetna High School,Monthly,Regular school,Single shift,,,,,V,,-,,,,,,,-,,,,,,,-,,,,,,,-,,
7496692212,Navchetna High School,Monthly,Regular school,Double Shift,,,,,,V,-,,,,,,,-,,,,,,,-,,,,,,,-,,
9470979007,Adarsh Academy,Weekly,Regular school,Double Shift,,,,V,,,-,,,,,V,,-,,,,V,,,-,,,,,V,,-,,
4412070020,Adarsh Public School,Once in two weeks,Regular school,Single shift,,V,,,,,-,,,,,,,-,,,V,,,,-,,,,,,,-,,
3683300978,Vidya Senior Secondary School,Two days a week,Regular school,Single shift,V,,,,,V,-,V,,,,,V,-,V,,,,,V,-,V,,,,,V,-,,
5489939486,Utkarsh Academy,Weekly,Regular school,Single shift,,,,,V,,-,,,,,,V,-,,,,,V,,-,,,,,,V,-,,
3433446732,Aarohan Public School,Once in two weeks,Regular school,Single shift,,V,,,,,-,,,,,,,-,,,V,,,,-,,,,,,,-,,
4842455714,Gyan Public School,Daily,Regular school,Double Shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
5716758416,Ujjwal Academy,Daily,Regular school,Single shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
9816974136,Shanti Public School,Once in two weeks,Regular school,Single shift,,,V,,,,-,,,,,,,-,,,,V,,,-,,,,,,,-,,
8215101266,Pragati Vidyalaya,Once in two weeks,Regular school,Single shift,,,,V,,,-,,,,,,,-,,,,,V,,-,,,,,,,-,,
4974594179,Pragati Public School,Weekly,Regular school,Double Shift,,,,,,V,-,V,,,,,,-,,,,,,V,-,V,,,,,,-,,
3139850296,Jyoti Vidyalaya,Weekly,Regular school,Single shift,V,,,,,,-,,V,,,,,-,V,,,,,,-,,V,,,,,-,,
8266892400,Vidya Academy,Two days a week,Regular school,Double Shift,V,V,,,,,-,V,V,,,,,-,V,V,,,,,-,V,V,,,,,-,,
9288715508,Adarsh Senior Secondary School,Daily,Regular school,Double Shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
3813734021,Saraswati Academy,Daily,Regular school,Single shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
5264226703,Jyoti Public School,Daily,Regular school,Double Shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
8582168897,Aarohan Senior Secondary School,Weekly,Regular school,Double Shift,,V,,,,,-,,,V,,,,-,,V,,,,,-,,,V,,,,-,,
3473001053,Navchetna Model School,Two days a week,Regular school,Double Shift,V,V,,,,,-,V,V,,,,,-,V,V,,,,,-,V,V,,,,,-,,
8305769406,Aarohan Vidyalaya,Two days a week,Regular school,Double Shift,V,,V,,,,-,V,,V,,,,-,V,,V,,,,-,V,,V,,,,-,,
2375953431,Utkarsh High School,Once in two weeks,Regular school,Single shift,,,,,V,,-,,,,,,,-,,,,,,V,-,,,,,,,-,,
5046644129,Navchetna Senior Secondary School,Two days a week,Regular school,Single shift,V,,,V,,,-,V,,,V,,,-,V,,,V,,,-,V,,,V,,,-,,
1845840086,Jyoti High School,Weekly,Regular school,Single shift,,,V,,,,-,,,,V,,,-,,,V,,,,-,,,,V,,,-,,
5869539841,Ujjwal Public School,Once in two weeks,Regular school,Single shift,,,,,,V,-,,,,,,,-,,,,,,,-,,V,,,,,-,,
4327408373,Jyoti Vidyalaya,Once in two weeks,Regular school,Double Shift,,,,,,,-,,V,,,,,-,,,,,,,-,,,V,,,,-,,
8036506943,Saraswati Senior Secondary School,Two days a week,Regular school,Single shift,V,,,,V,,-,V,,,,V,,-,V,,,,V,,-,V,,,,V,,-,,
4583619374,Shanti Senior Secondary School,Two days a week,Regular school,Single shift,V,,,,,V,-,V,,,,,V,-,V,,,,,V,-,V,,,,,V,-,,
9951837005,Adarsh Academy,Weekly,Regular school,Single shift,,,,V,,,-,,,,,V,,-,,,,V,,,-,,,,,V,,-,,
8114398312,Pragati Public School,Weekly,Regular school,Single shift,,,,,V,,-,,,,,,V,-,,,,,V,,-,,,,,,V,-,,
3276097754,Aarohan Vidyalaya,Once in two weeks,Vidya Jyoti school,Double Shift,,,,V,,-,-,,,,,,-,-,,,,,V,-,-,,,,,,-,-,,
3491270053,Jyoti High School,Once in two weeks,Vidya Jyoti school,Double Shift,,,,,V,-,-,,,,,,-,-,,,,,,-,-,,V,,,,-,-,,
5587639532,Sankalp High School,Weekly,Regular school,Double Shift,,,,,,V,-,V,,,,,,-,,,,,,V,-,V,,,,,,-,,
1412379896,Gyan Public School,Weekly,Vidya Jyoti school,Double Shift,,,,V,,-,-,,,,,V,-,-,,,,V,,-,-,,,,,V,-,-,,
8241149132,Gyan Public School,Two days a week,Vidya Jyoti school,Double Shift,V,,,V,,-,-,V,,,V,,-,-,V,,,V,,-,-,V,,,V,,-,-,,
1934772922,Sankalp Vidyalaya,Weekly,Regular school,Single shift,,V,,,,,-,,,V,,,,-,,V,,,,,-,,,V,,,,-,,
5507893230,Gyan Academy,Weekly,Regular school,Double Shift,,,V,,,,-,,,,V,,,-,,,V,,,,-,,,,V,,,-,,
9221396229,Vidya Senior Secondary School,Two days a week,Regular school,Double Shift,V,V,,,,,-,V,V,,,,,-,V,V,,,,,-,V,V,,,,,-,,
6458044162,Adarsh Public School,Two days a week,Regular school,Double Shift,V,,V,,,,-,V,,V,,,,-,V,,V,,,,-,V,,V,,,,-,,
2587995048,Saraswati Senior Secondary School,Weekly,Regular school,Double Shift,,,,V,,,-,,,,,V,,-,,,,V,,,-,,,,,V,,-,,
8546132517,Jyoti Public School,Weekly,Regular school,Single shift,,,,,V,,-,,,,,,V,-,,,,,V,,-,,,,,,V,-,,
5758499999,Adarsh Public School,Two days a week,Regular school,Double Shift,V,,,V,,,-,V,,,V,,,-,V,,,V,,,-,V,,,V,,,-,,
7296965290,Jyoti Vidyalaya,Weekly,Regular school,Double Shift,,,,,,V,-,V,,,,,,-,,,,,,V,-,V,,,,,,-,,
3721725061,Saraswati Public School,Once in two weeks,Regular school,Double Shift,,,,,,,-,,,,V,,,-,,,,,,,-,,,,,V,,-,,
5432019151,Pragati Academy,Once in two weeks,Regular school,Double Shift,,,,,,,-,,,,,V,,-,,,,,,,-,,,,,,V,-,,
4366648569,Saraswati Public School,Once in two weeks,Regular school,Double Shift,,,,,,,-,,,,,,V,-,,V,,,,,-,,,,,,,-,,
2748847262,Jyoti Public School,Once in two weeks,Regular school,Double Shift,,V,,,,,-,,,,,,,-,,,V,,,,-,,,,,,,-,,
4853680695,Pragati High School,Daily,Regular school,Double Shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
6466871129,Aarohan Public School,Daily,Regular school,Double Shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
6530651315,Jyoti High School,Daily,Regular school,Single shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
4553354316,Adarsh Senior Secondary School,Weekly,Regular school,Single shift,V,,,,,,-,,V,,,,,-,V,,,,,,-,,V,,,,,-,,
9541481105,Ujjwal Senior Secondary School,Weekly,Regular school,Double Shift,,V,,,,,-,,,V,,,,-,,V,,,,,-,,,V,,,,-,,
3771350568,Utkarsh Senior Secondary School,Weekly,Regular school,Double Shift,,,V,,,,-,,,,V,,,-,,,V,,,,-,,,,V,,,-,,
4270290250,Ujjwal Senior Secondary School,Two days a week,Regular school,Double Shift,V,,,,V,,-,V,,,,V,,-,V,,,,V,,-,V,,,,V,,-,,
2491991880,Utkarsh Vidyalaya,Once in two weeks,Regular school,Double Shift,,V,,,,,-,,,,,,,-,,,V,,,,-,,,,,,,-,,
6784424821,Shanti Academy,Once in two weeks,Regular school,Double Shift,,,V,,,,-,,,,,,,-,,,,V,,,-,,,,,,,-,,
4759660410,Gyan Academy,Daily,Regular school,Single shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
4503887070,Adarsh Vidyalaya,Weekly,Regular school,Double Shift,,,,V,,,-,,,,,V,,-,,,,V,,,-,,,,,V,,-,,
9346872003,Jyoti Model School,Weekly,Regular school,Double Shift,,,,,V,,-,,,,,,V,-,,,,,V,,-,,,,,,V,-,,
9813015968,Gyan High School,Daily,Regular school,Double Shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
4597118083,Saraswati Model School,Once in two weeks,Vidya Jyoti school,Single shift,,V,,,,-,-,,,,,,-,-,,,V,,,-,-,,,,,,-,-,,
9463603607,Vidya Senior Secondary School,Once in two weeks,Regular school,Double Shift,,,,,V,,-,,,,,,,-,,,,,,V,-,,,,,,,-,,
9065950869,Sankalp Model School,Once in two weeks,Regular school,Single shift,,,,,,V,-,,,,,,,-,,,,,,,-,,V,,,,,-,,
9097357251,Jyoti Senior Secondary School,Once in two weeks,Regular school,Single shift,,,,,,,-,,V,,,,,-,,,,,,,-,,,V,,,,-,,
2901075355,Gyan Academy,Once in two weeks,Regular school,Single shift,,,,,,,-,,V,,,,,-,,,,,,,-,,,V,,,,-,,
3237257011,Navchetna Public School,Once in two weeks,Vidya Jyoti school,Single shift,,,,,,-,-,,V,,,,-,-,,,,,,-,-,,,V,,,-,-,,
2291510033,Jyoti Academy,Daily,Regular school,Single shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
4930115661,Aarohan Public School,Once in two weeks,Regular school,Double Shift,,,,,,,-,,,,V,,,-,,,,,,,-,,,,,V,,-,,
8078391794,Adarsh High School,Once in two weeks,Regular school,Single shift,,,,,,,-,,,,,V,,-,,,,,,,-,,,,,,V,-,,
8071003733,Navchetna Vidyalaya,Weekly,Regular school,Single shift,,,,,,V,-,V,,,,,,-,,,,,,V,-,V,,,,,,-,,
7559294138,Shanti Vidyalaya,Weekly,Regular school,Single shift,V,,,,,,-,,V,,,,,-,V,,,,,,-,,V,,,,,-,,
9129309567,Gyan Model School,Two days a week,Regular school,Single shift,V,,,,,V,-,V,,,,,V,-,V,,,,,V,-,V,,,,,V,-,,
9214074243,Utkarsh Senior Secondary School,Two days a week,Vidya Jyoti school,Single shift,V,,,,V,-,-,V,,,,V,-,-,V,,,,V,-,-,V,,,,V,-,-,,
2486404062,Gyan Public School,Daily,Regular school,Double Shift,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V,V,V,V,V,-,V,V
6795098482,Utkarsh Vidyalaya,Two days a week,Regular school,Single shift,V,V,,,,,-,V,V,,,,,-,V,V,,,,,-,V,V,,,,,-,,
9780737459,Shanti Senior Secondary School,Two days a week,Regular school,Double Shift,V,,V,,,,-,V,,V,,,,-,V,,V,,,,-,V,,V,,,,-,,
7973229201,Ujjwal Vidyalaya,Once in two weeks,Regular school,Double Shift,,,,,,,-,,,,,,V,-,,V,,,,,-,,,,,,,-,,
5729946436,Navchetna Model School,Once in two weeks,Regular school,Double Shift,,V,,,,,-,,,,,,,-,,,V,,,,-,,,,,,,-,,
3957239651,Sankalp Public School,Once in two weeks,Regular school,Single shift,,V,,,,,-,,,,,,,-,,,V,,,,-,,,,,,,-,,
1249927697,Utkarsh High School,Once in two weeks,Vidya Jyoti school,Double Shift,,,V,,,-,-,,,,,,-,-,,,,V,,-,-,,,,,,-,-,,
3081111489,Jyoti Academy,Once in two weeks,Regular school,Single shift,,,,V,,,-,,,,,,,-,,,,,V,,-,,,,,,,-,,
1137899730,Navchetna High School,Once in two weeks,Regular school,Double Shift,,,,,V,,-,,,,,,,-,,,,,,V,-,,,,,,,-,,
3919369818,Aarohan Public School,Weekly,Regular school,Double Shift,,V,,,,,-,,,V,,,,-,,V,,,,,-,,,V,,,,-,,
